country,player_name,fan-ratings
New Zealand ,JA Duffy,3.8
New Zealand ,BV Sears,3.7
New Zealand ,TL Seifert,3.4
New Zealand ,R Ravindra,3.4
New Zealand ,DJ Mitchell,3
New Zealand ,FH Allen,2.7
New Zealand ,JA Clarkson,2.7
New Zealand ,TA Blundell,2.6
New Zealand ,MS Chapman,2
Oman ,Naseem Khushi,8.8
Oman ,S Shrivastava,6.7
Oman ,Kaleemullah,6.6
Oman ,Fayyaz Butt,6.5
Oman ,KH Prajapati,6.1
Oman ,Mohammad Nadeem,6
Oman ,Aqib Ilyas,5.8
Oman ,Mehran Khan,5.4
Oman ,Sandeep Goud,5.3
Oman ,PS Athavale,4.5
Oman ,Zeeshan Maqsood,4.1
Oman ,Shoaib Khan,3.1
Oman ,Rafiullah,2.9
Oman ,Ayaan Khan,2.8
Oman ,Shakeel Ahmed,2.4
Oman ,Jatinder Singh,2.3
Oman ,Khalid Kail,2.2
Oman ,Bilal Khan,1.9
Pakistan ,Shaheen Shah Afridi,8.8
Pakistan ,Mohammad Amir,8.7
Pakistan ,Mohammad Rizwan,8.5
Pakistan ,Abrar Ahmed,8.5
Pakistan ,Fakhar Zaman,7.8
Pakistan ,Shadab Khan,7.5
Pakistan ,Naseem Shah,7.1
Pakistan ,Irfan Khan,6.3
Pakistan ,Imad Wasim,6.1
Pakistan ,Abbas Afridi,5.7
Pakistan ,Haris Rauf,5.7
Pakistan ,Babar Azam,5.3
Pakistan ,Iftikhar Ahmed,5.2
Pakistan ,Usman Khan,4
Pakistan ,Zaman Khan,3.9
Pakistan ,Saim Ayub,3.6
Pakistan ,Usama Mir,3.4
Pakistan ,Hasan Ali,2.5
Pakistan ,Azam Khan,1.5
Papua New Guinea ,A Vala,6.8
Papua New Guinea ,N Vanua,5.9
Papua New Guinea ,CA Soper,5.8
Papua New Guinea ,K Doriga,5.1
Papua New Guinea ,SI Kamea,4.3
Papua New Guinea ,CJA Amini,4
Papua New Guinea ,KV Morea,3.5
Papua New Guinea ,J Kariko,3.4
Papua New Guinea ,S Bau,3.3
Papua New Guinea ,TP Ura,3.2
Papua New Guinea ,A Nao,3.2
Papua New Guinea ,H Hiri,3
Papua New Guinea ,L Siaka,2.6
Scotland ,B McMullen,8.5
Scotland ,CB Sole,7.9
